0	0	a	en el sitio también se atendió a la madre del joven en moto quien se desvaneció al ver lo ocurrido
1	0	a	es verdad ! luis le manda un saludo a una chica luchona y luis la admira ! y le doy toda la razón ! también me sorprendio !
2	0	a	méxico es un país de gente luchona sabemos caminar con frente en alto y hoy vamos por la ruta correcta cao <user>
3	0	a	al aire hablamos vía telefónica con ruffy gonzález madre de dos dreamers sobre la cancelación del daca
4	0	a	alerta rt chiapas desaparecidas madre e hija abordaron taxi en bodega aurrera de calzada al sumidero en tuxtla gtz y no se supo de ellas
5	0	a	amoamexicopor su gente luchona a pesar de la adversidad ! y por programas como el tuyo ! <user>
6	0	a	compartimos la emocion saludos desde nacualpan la madre patria del dr garcia
7	0	a	deforma madre preocupada por los tatuajes de su hijo toma medidas desesperadas
8	1	a	de mi cuenta corre que chingue a su madre el américa el pri el pan prd televisa tvazteca juntos chinguenla mil veces putos
9	1	a	dos de cada tres mentadas de madre llevan tu nombre bordado en oro
10	1	a	estafa maestra q poca madre <user> q haces ? ! a la cárcel estos rateros¡¡
11	1	a	feliz miércoles chinguen a su madre todos perros rt caliente
12	1	a	feliz miercoles nublado y frío y que chingue su madre trump para que sea aún un mejor día
13	0	a	fotos el lado oscuro de la madre teresa de calcuta
14	0	a	las buscamos gladys bojórquez y leslie padilla madre e hija y años culiacán sinaloa
15	0	a	madre mother film fue presentada en venecia darren aronofsky se inspiró en buñuel cc <user>
16	1	a	master chef mx se va hugo por estar pensando en la mamá luchona
17	1	a	mi amiga la youtuber el transporte publico soy mamà luchona
18	1	a	nada personal chinga tu madre
19	1	a	nada personal pero chinga tu madre
20	0	a	no es posible que yo vuleva a caer dos veces naaa ni q tuvieras tanta suerte !
21	1	a	ripiggy fuisre un perro hdp pero al final mostraste tu valia
22	0	a	soraya jiménez una verdadera luchona
23	1	a	un mexicano podría hacer luchona a cualquier mujer
24	0	a	<user> ocultó las pruebas de abuso sexual contra los niños asesinados por su madre en magdalena contreras
25	1	a	y muy decepcionados y encabronados que digo encabronados hasta la madre de los políticos de mierda como tú <<url>>
26	0	a	pensamos en términos médicos pero la madre o el padre piensa en términos sociales down integración
27	1	a	<user> el magistrado ha de dormir a toda madre con su buen varo por la liberación del ogt poca madre que violó y mató a la nena ! hdp !
28	1	a	<user> los meet and greet por q es una mamá luchona que cuida a su bendición
29	1	a	<user> morenava achingsr a toda su puterrima madre pendejo
30	0	a	<user> silup sacó a guardado y valió madre
31	1	a	<user> pues a chingar asu puta madre pendejo
